regionName,regionLongName,region,LR,Lobe,broad_lobe,cortex,is_cingulate,regionID
IP1_R,Area_IntraParietal_1_R,IP1,R,Par,Parietal,Inferior_Parietal,False,345
IP0_R,Area_IntraParietal_0_R,IP0,R,Par,Parietal,Inferior_Parietal,False,346
PFop_R,Area_PF_Opercular_R,PFop,R,Par,Parietal,Inferior_Parietal,False,347
PF_R,Area_PF_Complex_R,PF,R,Par,Parietal,Inferior_Parietal,False,348
PFm_R,Area_PFm_Complex_R,PFm,R,Par,Parietal,Inferior_Parietal,False,349
PGi_R,Area_PGi_R,PGi,R,Par,Parietal,Inferior_Parietal,False,350
PGs_R,Area_PGs_R,PGs,R,Par,Parietal,Inferior_Parietal,False,351
V6A_R,Area_V6A_R,V6A,R,Par,Parietal,Dorsal_Stream_Visual,False,352
VMV1_R,VentroMedial_Visual_Area_1_R,VMV1,R,Occ,Occipital,Ventral_Stream_Visual,False,353
VMV3_R,VentroMedial_Visual_Area_3_R,VMV3,R,Occ,Occipital,Ventral_Stream_Visual,False,354
PHA2_R,ParaHippocampal_Area_2_R,PHA2,R,Temp,Temporal,Medial_Temporal,False,355
V4t_R,Area_V4t_R,V4t,R,Occ,Occipital,MT+_Complex_and_Neighboring_Visual_Areas,False,356
FST_R,Area_FST_R,FST,R,Occ,Occipital,MT+_Complex_and_Neighboring_Visual_Areas,False,357
V3CD_R,Area_V3CD_R,V3CD,R,Occ,Occipital,MT+_Complex_and_Neighboring_Visual_Areas,False,358
LO3_R,Area_Lateral_Occipital_3_R,LO3,R,Par,Parietal,MT+_Complex_and_Neighboring_Visual_Areas,False,359
VMV2_R,VentroMedial_Visual_Area_2_R,VMV2,R,Occ,Occipital,Ventral_Stream_Visual,False,360
31pd_R,Area_31pd_R,31pd,R,Par,Parietal,Posterior_Cingulate,True,361
31a_R,Area_31a_R,31a,R,Par,Parietal,Posterior_Cingulate,True,362
VVC_R,Ventral_Visual_Complex_R,VVC,R,Temp,Temporal,Ventral_Stream_Visual,False,363
25_R,Area_25_R,25,R,Fr,Frontal,Anterior_Cingulate_and_Medial_Prefrontal,True,364
s32_R,Area_s32_R,s32,R,Fr,Frontal,Anterior_Cingulate_and_Medial_Prefrontal,True,365
pOFC_R,posterior_OFC_Complex_R,pOFC,R,Fr,Frontal,Anterior_Cingulate_and_Medial_Prefrontal,True,366
PoI1_R,Area_Posterior_Insular_1_R,PoI1,R,Ins,Insular,Insular_and_Frontal_Opercular,False,367
Ig_R,Insular_Granular_Complex_R,Ig,R,Ins,Insular,Insular_and_Frontal_Opercular,False,368
FOP5_R,Area_Frontal_Opercular_5_R,FOP5,R,Ins,Insular,Insular_and_Frontal_Opercular,False,369
p10p_R,Area_posterior_10p_R,p10p,R,Fr,Frontal,Orbital_and_Polar_Frontal,False,370
p47r_R,Area_posterior_47r_R,p47r,R,Fr,Frontal,Inferior_Frontal,False,371
TGv_R,Area_TG_Ventral_R,TGv,R,Temp,Temporal,Lateral_Temporal,False,372
MBelt_R,Medial_Belt_Complex_R,MBelt,R,Temp,Temporal,Early_Auditory,False,373
LBelt_R,Lateral_Belt_Complex_R,LBelt,R,Temp,Temporal,Early_Auditory,False,374
A4_R,Auditory_4_Complex_R,A4,R,Temp,Temporal,Auditory_Association,False,375
STSva_R,Area_STSv_anterior_R,STSva,R,Temp,Temporal,Auditory_Association,False,376
TE1m_R,Area_TE1_Middle_R,TE1m,R,Temp,Temporal,Lateral_Temporal,False,377
PI_R,Para-Insular_Area_R,PI,R,Temp,Temporal,Insular_and_Frontal_Opercular,False,378
a32pr_R,Area_anterior_32_prime_R,a32pr,R,Fr,Frontal,Anterior_Cingulate_and_Medial_Prefrontal,True,379
p24_R,Area_posterior_24_R,p24,R,Fr,Frontal,Anterior_Cingulate_and_Medial_Prefrontal,True,380
